CP (Ville),Ville,rue,type,typelieu
1000,Bruxelles,Rue de Dinant 43,Oliobox,Bulle de collecte
1000,Bruxelles,Rue du Persil 5,Oliobox,Bulle de collecte
1000,Bruxelles,Avenue de l'Heliport,Oliobox,Bulle de collecte
1020,Laeken,Place Joseph Benoit Willems 15,Oliobox,Bulle de collecte
1020,Laeken,Avenue Jean Sobieski 13,Oliobox,Bulle de collecte
1050,Ixelles,Avenue Huysmans 220,Oliobox,Bulle de collecte
1040,Etterbeek,Avenue des Volontaires 149,Oliobox,Bulle de collecte
1040,Etterbeek,Rue Baron Dhanis 17,Oliobox,Bulle de collecte
1140,Evere,Avenue des Olympiades 12,Oliobox,Bulle de collecte
1083,Ganshoren,Place Reine Fabiola,Oliobox,Bulle de collecte
1083,Ganshoren,Place Reine Paola,Oliobox,Bulle de collecte
1090,Jette,Chaussée de Wemmel,Oliobox,Bulle de collecte
1090,Jette,Avenue du Laerbeek,Oliobox,Bulle de collecte
1160,Auderghem,Boulevard du Souverain 240,Oliobox,Bulle de collecte
1030,Schaerbeek,Place Meiser,Oliobox,Bulle de collecte
1030,Schaerbeek,Place Dailly,Oliobox,Bulle de collecte
1082,Berchem-Sainte-Agathe,Avenue Charles Quint 560,Oliobox,Bulle de collecte
1210,Saint-Josse-ten-Noode,Rue du Moulin 41,Oliobox,Bulle de collecte
1210,Saint-Josse-ten-Noode,Rue Verte 43,Oliobox,Bulle de collecte
1180,Uccle,Rue Chamois 7,Oliobox,Bulle de collecte
1180,Uccle,Place Saint-Job,Oliobox,Bulle de collecte
1190,Forest,Chaussée de Bruxelles 112,Oliobox,Bulle de collecte
1190,Forest,Rue Victor Rousseau,Oliobox,Bulle de collecte
1170,Watermael-Boitsfort,Rue des Brebis 2,Oliobox,Bulle de collecte
1170,Watermael-Boitsfort,Avenue des Archiducs,Oliobox,Bulle de collecte
1070,Anderlecht,Avenue Marius Renard 27,Récupération piles ,Aldi
1070,Anderlecht,Boulevard Sylvain Dupuis 315,Récupération piles ,Vanden Borre Shopping Westland
1000,Bruxelles,Square de Meeus 30,Récupération piles ,Representation permanente de la Suède en U.E
1000,Bruxelles,Rue de Flandres 111,Récupération piles ,M'Zale
1050,Ixelles,Rue Malibran 36,Récupération piles ,La Boit'A Outils
1050,Ixelles,Avenue de la Couronne 153,Récupération piles ,Delhaize Proxy
1040,Etterbeek,Rue de l'Escadron 45,Récupération piles ,City Delhaize
1040,Etterbeek,Rue de la Grande Haie 20,Récupération piles ,Delhaize Proxy
1140,Evere,Chaussée de Haecht 1248,Récupération piles ,Aldi
1140,Evere,Avenue Notre-Dame 131,Récupération piles ,Comptoir d'Image
1083,Ganshoren,Avenue Van Overbeke 180,Récupération piles ,Delitraiteur
1083,Ganshoren,Avenue Louis De Brouckere 70,Récupération piles ,Carrefour Express
1090,Jette,Rue Ferdinand Lenoir 26,Récupération piles ,Espace Image
1090,Jette,Rue Leopold 1er 374,Récupération piles ,Aldi
1081,Koelkelberg,Avenue du Château 63,Récupération piles ,Carrefour Express
1081,Koelkelberg,Place Eugène Simonis 2,Récupération piles ,Delhaize
1160,Auderghem,Rue Jacques Bassem 7,Récupération piles ,Résidence Domitys L'Ecrin
1160,Auderghem,Chaussée de Wavre 1528,Récupération piles ,Lontie
1030,Schaerbeek,Rue de Jerusalem 60,Récupération piles ,Carrefour Market
1030,Schaerbeek,Boulevard General Wahis 16eb,Récupération piles ,Athalys Film Video Team
1082,Berchem-Sainte-Agathe,Rue de Grand Bigard 419,Récupération piles ,Delhaize Proxy
1082,Berchem-Sainte-Agathe,Chaussée de Zellik 10,Récupération piles ,Lidl
1060,Saint-Gilles,Chaussée de Waterloo 71,Récupération piles ,Match
1060,Saint-Gilles,Rue Joseph Claes 68,Récupération piles ,Regards Nouveaux ASBL
1080,Molenbeek-Saint-Jean,Rue de l'Intendant 53,Récupération piles ,Aldi
1080,Molenbeek-Saint-Jean,Chaussée de Gand 106,Récupération piles ,Alvo
1210,Saint-Josse-ten-Noode,Rue du Marteau 26,Récupération piles ,D.I.S.C ASBL
1210,Saint-Josse-ten-Noode,Rue Willems 41,Récupération piles ,Juwelier Jenni
